職業類別,產業,1年以下,1~3年,3~5年,5~7年,7年以上,主職業類別,細職業名稱
其他研究人員,醫療照護╱環境衛生,38800,42600,46500,50400,54300,學術研究_教育師資,其他研究人員
其他研究人員,農林漁牧╱水電資源,30000,33000,36000,39000,42000,學術研究_教育師資,其他研究人員
其他研究人員,一般服務業,38000,41800,45600,49400,53200,學術研究_教育師資,其他研究人員
其他研究人員,旅遊╱休閒╱運動,45000,49500,54000,58500,63000,學術研究_教育師資,其他研究人員
其他研究人員,餐飲╱住宿服務,30000,33000,36000,39000,42000,學術研究_教育師資,其他研究人員
其他研究人員,大眾傳播相關,31000,34100,37200,40300,43400,學術研究_教育師資,其他研究人員
其他研究人員,教育╱出版╱藝文相關,39300,43300,47200,51100,55100,學術研究_教育師資,其他研究人員
其他研究人員,批發╱零售,37000,40700,44400,48100,51800,學術研究_教育師資,其他研究人員
其他語系教師,教育╱出版╱藝文相關,30000,33000,36000,39000,42000,學術研究_教育師資,其他語系教師
助教,電子科技╱資訊╱軟體╱半導體,27900,30700,33500,36300,39100,學術研究_教育師資,助教
助教,一般傳統製造,30000,33000,36000,39000,42000,學術研究_教育師資,助教
助教,政治╱宗教╱社福,31000,34100,37200,40300,43400,學術研究_教育師資,助教
助教,金融投顧╱保險相關,35000,38500,42000,45500,49000,學術研究_教育師資,助教
助教,法律╱會計╱顧問╱研發╱設計,30000,33000,36000,39000,42000,學術研究_教育師資,助教
助教,運輸物流╱倉儲╱貿易,26500,29200,31800,34500,37100,學術研究_教育師資,助教
助教,醫療照護╱環境衛生,37500,41300,45000,48800,52500,學術研究_教育師資,助教
助教,農林漁牧╱水電資源,35000,38500,42000,45500,49000,學術研究_教育師資,助教
助教,旅遊╱休閒╱運動,35000,38500,42000,45500,49000,學術研究_教育師資,助教
助教,餐飲╱住宿服務,30000,33000,36000,39000,42000,學術研究_教育師資,助教
助教,大眾傳播相關,30000,33000,36000,39000,42000,學術研究_教育師資,助教
助教,教育╱出版╱藝文相關,28000,30800,33600,36400,39200,學術研究_教育師資,助教
助教,批發╱零售,25900,28500,31100,33700,36300,學術研究_教育師資,助教
助理研究人員,電子科技╱資訊╱軟體╱半導體,45000,49500,54000,58500,63000,學術研究_教育師資,助理研究人員
助理研究人員,一般傳統製造,34000,37400,40800,44200,47600,學術研究_教育師資,助理研究人員
助理研究人員,政治╱宗教╱社福,40000,44000,48000,52000,56000,學術研究_教育師資,助理研究人員
助理研究人員,法律╱會計╱顧問╱研發╱設計,40000,44000,48000,52000,56000,學術研究_教育師資,助理研究人員
助理研究人員,建築營造╱不動產相關,34000,37400,40800,44200,47600,學術研究_教育師資,助理研究人員
助理研究人員,醫療照護╱環境衛生,38000,41800,45600,49400,53200,學術研究_教育師資,助理研究人員
助理研究人員,農林漁牧╱水電資源,37000,40700,44400,48100,51800,學術研究_教育師資,助理研究人員
助理研究人員,教育╱出版╱藝文相關,36100,39700,43300,46900,50500,學術研究_教育師資,助理研究人員
助理研究人員,批發╱零售,29000,31900,34800,37700,40600,學術研究_教育師資,助理研究人員
化學相關研究人員,電子科技╱資訊╱軟體╱半導體,50000,55000,60000,65000,70000,學術研究_教育師資,化學相關研究人員
化學相關研究人員,一般傳統製造,38000,41800,45600,49400,53200,學術研究_教育師資,化學相關研究人員
化學相關研究人員,政治╱宗教╱社福,42000,46200,50400,54600,58800,學術研究_教育師資,化學相關研究人員
化學相關研究人員,法律╱會計╱顧問╱研發╱設計,44000,48400,52800,57200,61600,學術研究_教育師資,化學相關研究人員
化學相關研究人員,建築營造╱不動產相關,80000,88000,96000,104000,112000,學術研究_教育師資,化學相關研究人員
化學相關研究人員,醫療照護╱環境衛生,34000,37400,40800,44200,47600,學術研究_教育師資,化學相關研究人員
化學相關研究人員,教育╱出版╱藝文相關,44000,48400,52800,57200,61600,學術研究_教育師資,化學相關研究人員
化學相關研究人員,批發╱零售,35000,38500,42000,45500,49000,學術研究_教育師資,化學相關研究人員
哲學研究人員,政治╱宗教╱社福,35000,38500,42000,45500,49000,學術研究_教育師資,哲學研究人員
國中教師,一般傳統製造,40000,44000,48000,52000,56000,學術研究_教育師資,國中教師
國中教師,政治╱宗教╱社福,40000,44000,48000,52000,56000,學術研究_教育師資,國中教師
國中教師,旅遊╱休閒╱運動,36000,39600,43200,46800,50400,學術研究_教育師資,國中教師
國中教師,餐飲╱住宿服務,24000,26400,28800,31200,33600,學術研究_教育師資,國中教師
國中教師,教育╱出版╱藝文相關,42000,46200,50400,54600,58800,學術研究_教育師資,國中教師
國小教師,政治╱宗教╱社福,29500,32500,35400,38400,41300,學術研究_教育師資,國小教師
國小教師,一般服務業,36000,39600,43200,46800,50400,學術研究_教育師資,國小教師
國小教師,旅遊╱休閒╱運動,38000,41800,45600,49400,53200,學術研究_教育師資,國小教師
